1: WiDaySunny
2,3,4: WiDaySunnyOvercast
5: WiDayHaze
6: WiDayCloudy
7: WiCloud
8: WiCloudy
11: WiFog
12: WiShowers
13,14: WiDayShowers
15: WiStormShowers
16,17: WiDayStormShowers
18: WiRain
19: WiCloudyGusts
20,21: WiDayCloudyGusts
22: WiSnow
23: WiDaySnow
24: WiSnowflakeCold
25: WiSleet
26: WiHail
29: WiRainMix
30: WiThermometer
31: WiThermometerExterior
32: WiWindy
33: WiNightClear
34,35,36: WiNightAltPartlyCloudy
37: WiNightAltCloudyHigh
38: WiNightAltCloudy
39,40: WiNightAltShowers
41,42: WiNightAltStormShowers
43: WiNightAltCloudyGusts
44: WiNightAltSnow
